url1,url2,similarity
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.875
https://guardiandigital.com/resources/blog/guide-on-phishing,https://www.phriendlyphishing.com/blog,0.8642
https://guardiandigital.com/resources/blog/guide-on-phishing,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.8741
https://www.phriendlyphishing.com/blog,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.8826
https://en.wikipedia.org/wiki/SD-WAN,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.9352
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.8549
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.9298
https://www.efax.com/,https://sign.dropbox.com/products/dropbox-fax,0.9274
https://www.efax.com/,https://www.fax.plus/,0.9136
https://www.efax.com/,https://comfax.com/reviews/free-fax/,0.8287
https://sign.dropbox.com/products/dropbox-fax,https://www.fax.plus/,0.9061
https://sign.dropbox.com/products/dropbox-fax,https://comfax.com/reviews/free-fax/,0.857
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.8607
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.898
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.9221
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.coursera.org/articles/content-strategy,0.9255
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9148
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://en.wikipedia.org/wiki/Content_marketing,0.8349
https://copyblogger.com/content-marketing/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.9121
https://copyblogger.com/content-marketing/,https://www.coursera.org/articles/content-strategy,0.8243
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9391
https://copyblogger.com/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.846
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://www.coursera.org/articles/content-strategy,0.8676
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://mailchimp.com/marketing-glossary/content-marketing/,0.9136
https://www.akkio.com/beginners-guide-to-machine-learning,https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,0.8477
https://www.geeksforgeeks.org/data-science/data-science-with-python-tutorial/,https://www.w3schools.com/datascience/,0.8933
https://digitalmarketinginstitute.com/blog/what-is-seo,https://www.forbes.com/advisor/business/what-is-digital-marketing/,0.844
https://www.coursera.org/articles/content-strategy,https://mailchimp.com/marketing-glossary/content-marketing/,0.8461
https://emotive.io/blog/11-essential-digital-marketing-tips,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.8742
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.8859
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://en.wikipedia.org/wiki/Digital_marketing,0.922
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://simple.wikipedia.org/wiki/Digital_marketing,0.8458
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.8651
https://mailchimp.com/marketing-glossary/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.8389
https://en.wikipedia.org/wiki/Search_engine_optimization,https://simple.wikipedia.org/wiki/Search_engine_optimization,0.8325
https://en.wikipedia.org/wiki/Digital_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.8396
